gene_symbol,sources,confidence,moi,evidence,disease,hgnc_id,in_clinvar
A4GALT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,A4GALT-congenital disorder of glycosylation,HGNC:18149,False
AAAS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,triple-A syndrome,HGNC:13666,False
AARS1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,undetermined early-onset epileptic encephalopathy,HGNC:20,False
AARS2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mitochondrial disease,HGNC:21022,False
AASS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hyperlysinemia,HGNC:17366,False
ABAT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,GABA aminotransaminase deficiency,HGNC:23,False
ABCA1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Tangier disease,HGNC:29,False
ABCA12,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive congenital ichthyosis 4B,HGNC:14637,False
ABCA2,GenCC,medium,Autosomal recessive,strong,intellectual developmental disorder with poor growth and with or without seizures or ataxia,,False
ABCA3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,interstitial lung disease due to ABCA3 deficiency,HGNC:33,False
ABCA4,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,severe early-childhood-onset retinal dystrophy,HGNC:34,False
ABCB11,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,progressive familial intrahepatic cholestasis type 2,HGNC:42,False
ABCB4,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,progressive familial intrahepatic cholestasis type 3,HGNC:45,False
ABCC2,GenCC,medium,Autosomal recessive,strong,Dubin-Johnson syndrome,,False
ABCC4,GenCC,medium,Autosomal recessive,moderate,qualitative platelet defect,,False
ABCC6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive inherited pseudoxanthoma elasticum,HGNC:57,False
ABCC8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,familial hyperinsulinism,HGNC:59,False
ABCC9,GenCC,medium,Autosomal recessive,strong,intellectual disability and myopathy syndrome,,False
ABCD3,GenCC,medium,Autosomal recessive,moderate,congenital bile acid synthesis defect 5,,False
ABCD4,GenCC,medium,Autosomal recessive,strong,"methylmalonic acidemia with homocystinuria, type cblJ",,False
ABCG5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,sitosterolemia,HGNC:13886,False
ABCG8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,sitosterolemia,HGNC:13887,False
ABHD12,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,PHARC syndrome,HGNC:15868,False
ABHD16A,GenCC,medium,Autosomal recessive,strong,"spastic paraplegia 86, autosomal recessive",,False
ABHD5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Dorfman-Chanarin disease,HGNC:21396,False
ACACA,GenCC,medium,Autosomal recessive,moderate,acetyl-coa carboxylase deficiency,,False
ACAD8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,isobutyryl-CoA dehydrogenase deficiency,HGNC:87,False
ACAD9,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,acyl-CoA dehydrogenase 9 deficiency,HGNC:21497,False
ACADM,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,medium chain acyl-CoA dehydrogenase deficiency,HGNC:89,False
ACADS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,short chain acyl-CoA dehydrogenase deficiency,HGNC:90,False
ACADSB,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,2-methylbutyryl-CoA dehydrogenase deficiency,HGNC:91,False
ACADVL,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,very long chain acyl-CoA dehydrogenase deficiency,HGNC:92,False
ACAN,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"spondyloepimetaphyseal dysplasia, aggrecan type",HGNC:319,False
ACAT1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,beta-ketothiolase deficiency,HGNC:93,False
ACBD5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,acyl-CoA binding domain containing protein 5 deficiency,HGNC:23338,False
ACBD6,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder with progressive movement abnormalities,,False
ACD,GenCC,medium,Autosomal recessive,strong,"dyskeratosis congenita, autosomal dominant 6",,False
ACE,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,renal tubular dysgenesis - ACE,HGNC:2707,False
ACER3,GenCC,medium,Autosomal recessive,strong,alkaline ceramidase 3 deficiency,,False
ACKR3,GenCC,medium,Autosomal recessive,moderate,oculomotor-abducens synkinesis,,False
ACO2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mitochondrial disease,HGNC:118,False
ACOX1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,peroxisomal acyl-CoA oxidase deficiency,HGNC:119,False
ACOX2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital bile acid synthesis defect 6,HGNC:120,False
ACP4,GenCC,medium,Autosomal recessive,strong,"amelogenesis imperfecta, type 1J",,False
ACP5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Spondyloenchondrodysplasia with immune dysregulation,HGNC:124,False
ACSF3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,combined malonic and methylmalonic acidemia,HGNC:27288,False
ACSL5,GenCC,medium,Autosomal recessive,moderate,diarrhea 13,,False
ACTA1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,alpha-actinopathy,HGNC:129,False
ACTL6B,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"developmental and epileptic encephalopathy, 76",HGNC:160,False
ACTL9,GenCC,medium,Autosomal recessive,strong,spermatogenic failure 53,,False
ACY1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,aminoacylase 1 deficiency,HGNC:177,False
ADA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",HGNC:186,False
ADA2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,deficiency of adenosine deaminase 2,HGNC:1839,False
ADAM17,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"inflammatory skin and bowel disease, neonatal, 1",HGNC:195,False
ADAM22,GenCC,medium,Autosomal recessive,strong,"developmental and epileptic encephalopathy, 61",,False
ADAM9,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ADAM9-related retinopathy,HGNC:216,False
ADAMTS10,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Weill-Marchesani syndrome 1,HGNC:13201,False
ADAMTS13,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital thrombotic thrombocytopenic purpura,HGNC:1366,False
ADAMTS15,GenCC,medium,Autosomal recessive,strong,"arthrogryposis, distal, type 12",,False
ADAMTS17,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"Weill-Marchesani 4 syndrome, recessive",HGNC:17109,False
ADAMTS18,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,microcornea-myopic chorioretinal atrophy,HGNC:17110,False
ADAMTS19,GenCC,medium,Autosomal recessive,strong,cardiac valvular dysplasia 2,,False
ADAMTS2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"Ehlers-Danlos syndrome, dermatosparaxis type",HGNC:218,False
ADAMTS3,GenCC,medium,Autosomal recessive,strong,hennekam lymphangiectasia-lymphedema syndrome 3,,False
ADAMTS9,GenCC,medium,Autosomal recessive,moderate,nephropathy-associated ciliopathy,,False
ADAMTSL2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,geleophysic dysplasia 1,HGNC:14631,False
ADAMTSL4,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"ectopia lentis 2, isolated, autosomal recessive",HGNC:19706,False
ADAR,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Aicardi-Goutieres syndrome 6,HGNC:225,False
